"site","org","region","country","state","suborg","site_type","incident_url","case_number","status","severity","potential_severity","recordable","creator","created_at","updated_at","is_primary_incident","sub_event_type","sub_event_type_details","incident_date","incident_time","date_reported","time_reported","last_update_to_recordability","last_update_to_severity","map_external_service","map_external_service_id","initial_info_risk_assessment_category","initial_info_risk_assessment_group","initial_info_risk_assessment_hazard","initial_info_risk_assessment_likeliness","initial_info_risk_assessment_severity","initial_risk_assessment_criticality","initial_risk_assessment_likeliness","initial_risk_assessment_severity","post_risk_assessment_criticality","post_risk_assessment_likeliness","post_risk_assessment_severity","initial_info_phase_status","initial_info_updated_at","initial_info_contractor_firm_related","investigation_contractor_firm","initial_info_contractor_type","initial_info_contractor_department","initial_info_employee_occupation","initial_info_agency_name","initial_info_incident_description","initial_info_fire_description","initial_info_fire_extinguished_by","initial_info_fire_hose_used","initial_info_fire_number_of_fire_hoses_used","initial_info_incident_location","initial_info_site_alarm_activated","initial_info_fire_site_emergency_response_activated","initial_info_fire_sprinkler_system_activated","initial_info_shift","initial_info_shift_start_time","initial_info_manager_supervisor_alias","investigation_phase_status","investigation_updated_at","investigation_witness_statements_available","investigation_witness_statements_description","investigation_documentation_activity_or_processes","investigation_documentation_associate_or_personal","investigation_documentation_equipment","investigation_documentation_policies_upload","investigation_documentation_standards_policies","investigation_evidence_near_incident_location","investigation_evidence_near_incident_location_description","investigation_object_substance_involved","investigation_primary_object_type","investigation_secondary_object_type","investigation_photos_available","investigation_recreation_photos_available","investigation_tools_or_equipment_condition","investigation_tools_or_equipment_condition_description","investigation_primary_impact","investigation_secondary_impact","investigation_video_footage_available","rca_phase_status","rca_updated_at","rca_primary_cause","rca_root_cause_variant","rca_root_cause_other","rca_contributing_factor_category","rca_contributing_factor_human_behaviour","rca_contributing_factor_org_process","rca_contributing_factor_org_workplace","rca_contributing_factor_tech_equipment","rca_contributing_factor_tech_material","rca_contributing_factorhuman_leadership","rca_external_analysis_link","rca_comments","badge_color"
"HNE1","AMZL","NA","US","New Jersey","AMZL-NA-R2L","SSD DC","https://NA.ehs-amazon.com/incidents/incident/686d7626-137a-463b-906e-1de26994b8b9/summary","HNE1-24-101","CLOSED","PENDING","D",0,"nokwudi","2024-06-26 16:53:08.731","2025-02-06 20:50:48.453",0,,"Machinery","2024-06-25 00:00:00","2024-06-26T13:54:00.635Z","2024-06-25 00:00:00","2024-06-26T13:45:00.541Z","2024-06-26 16:53:08.731","2024-06-26 16:53:08.731","Austin",,"Corrective Actions","Management Standards","None","UNLIKELY","MINOR","LOW","UNLIKELY","MINOR","LOW","UNLIKELY","MINOR","COMPLETED","2025-02-06 21:54:38.998","No One",,,,,,"SSD-DC – HNE1 (Serious Incident Near Miss, Fire) SSD-DC – HNE1 (Serious Incident Near Miss, Fire)-On June 25, 2024, at approximately 09:54 AM EST, the site safety team was alerted to a fire involving the cardboard compactor auger at OB Dock 145. The fire alarm was promptly activated, and a site-wide evacuation was carried out to ensure the safety of all personnel.
Upon investigation, it was determined that the root cause of the fire was not related to the compactor container being at full capacity. At 9:15 AM, the compactor container was only at 20% capacity, holding approximately 3,200 lbs of material, whereas its full capacity is 16,000 lbs. Further investigation revealed that the previous container had been replaced with an empty one at approximately 6:00 AM. The delay in replacing the full container on time led to a significant backlog of cardboard shuttle containers.

Due to this delay, ABM associates had staged and piled up more than 35 cardboard shuttle containers, awaiting the emptying of the compactor container. Once the container was emptied at 6:00 AM, the associates began disposing of the accumulated cardboard into the compactor auger from 6:55 AM through 9:54 AM. Additional cardboard from HNE1 and LGA5 continued to be disposed of, exacerbating the situation.
The continuous disposal of a large volume of cardboard without allowing the compactor auger to cool down resulted in the equipment overheating. This overheating caused fire friction, igniting the cardboard and leading to the fire incident.

The root cause of the incident has been identified as fire friction due to the excessive use of the compactor auger for more than three hours without a cooling period. This was a direct consequence of the backlog created by the delayed replacement of the full compactor container.","There was a friction fire caused by the augers due to the overuse of the compactor auger without allowing it to cool down","Contractor","False",,"Outbound Dock","True","True","False",,,,"COMPLETED","2025-02-06 21:54:41.484","False",,"False","False","False",,"False","False",,"False",,,"True","False","False",,"Environmental","Waste management","False","COMPLETED","2025-02-06 21:54:41.532","Inadequate purchasing or contractor management","Improper materials management",,"Technical - Equipment",,,,"Fire and explosion hazards",,,,"N/A",
"SAX1","AMZL","NA","US","California","AMZL-NA-R2L","SSD FC","https://NA.ehs-amazon.com/incidents/incident/394a109d-cbda-4e51-8194-13224e294a66/summary","SAX1-25-176","CLOSED","PENDING","C",0,"sharanit","2025-06-03 23:38:51.884","2026-01-26 22:01:52.124",1,,"Waste","2025-06-03 00:00:00","2025-06-03T22:15:00Z","2025-06-03 00:00:00","2025-06-03T22:35:00Z","2025-06-03 23:38:51.884","2025-06-03 23:38:51.884","Austin",,"Thermal","Safety","Fire/Flame","HIGHLY_UNLIKELY","MINOR","NEGLIGIBLE","HIGHLY_UNLIKELY","MINOR","NEGLIGIBLE","HIGHLY_UNLIKELY","MINOR","COMPLETED","2025-06-04 01:03:50.254","No One",,,,,,"At approximately 15:15, a PA informed the OM of a small fire in the flex parking lot. The Fire Department and GSOC were immediately notified. The Fire Department arrived at 15:18 and extinguished the fire, which originated in a drain—potentially caused by a dropped cigarette. LP/Security is reviewing footage to confirm. As AAs were on lunch, no shelter-in-place was required, and there was no operational impact. The Fire Department cleared the site at 15:35.","Cigarette by DP was dropped into drain without putting it out","Employee","False",,"Onsite Parking Lot","False","False","False",,,,"COMPLETED","2025-06-04 01:17:30.366","False",,"False","True","False",,"False","False",,"False",,,"False","False","False",,"Natural","Bushfire","False","COMPLETED","2025-06-04 01:27:49.018","Inadequate or missing standards or procedures","Other","Missing Equipment and Signage","Human - Behaviour","Failure to properly dispose of waste",,,,,,"https://na.ehs-amazon.com/incidents/group/SAX1-25-GROUP-126/incident/SAX1-25-176/rca","Site does not have outdoor ash trays in the flex parking lot. No signage for littering.",
"SAX2","AMZL","NA","US","California","AMZL-NA-R2L","SSD FC","https://NA.ehs-amazon.com/incidents/incident/b17f63c0-e945-41e1-b1a8-9fc296ca39b5/summary","SAX2-25-269","CLOSED","PENDING","C",0,"ntalm","2025-07-19 06:00:37.048","2025-07-19 06:17:52.551",1,"Hot work","Vegetation","2025-07-18 00:00:00","2025-07-18T07:00:00Z","2025-07-18 00:00:00","2025-07-19T05:05:00Z","2025-07-19 06:00:37.048","2025-07-19 06:00:37.048","Austin",,"Thermal","Safety","Fire/Flame","UNLIKELY","MINOR","LOW","UNLIKELY","MINOR",,,,"COMPLETED","2025-07-19 06:17:51.591","No One",,,,,,"At approximately 22:05 ABM worker was outside saw smoke coming from entrance of parking lot. ABM worker immediately reported to security which notified Operations. At 22:15 operations and RME responded to which a small fire and flames coming from bushes and dry dirt at entrance of parking lot. Fire was extinguished by RME at approximately 2225. GSOC notified and Corona Fire department dispatched to sight. Fire department on scene at 2235 and hosed down area from catching further flames. No injuries reported during event. No damage to property. Fire department truck ID: Corona Engine #2","At 22:05 AMB contracter reported to securtity flames outside near the entrance in the parking lot. Unknown cause of fire, Security currently reviewing footage.","Contractor","True","0 to 3","Onsite Parking Lot","False","False","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAX2","AMZL","NA","US","California","AMZL-NA-R2L","SSD FC","https://NA.ehs-amazon.com/incidents/incident/d4cfa465-9aa9-4e2e-9ca7-0d2e5351d988/summary","SAX2-25-284","CLOSED","PENDING","C",0,"rrandall","2025-08-02 01:41:38.212","2025-08-02 01:52:26.768",1,,"Vegetation","2025-08-01 00:00:00","2025-08-01T22:49:00Z","2025-08-01 00:00:00","2025-08-01T22:51:00Z","2025-08-02 01:41:38.212","2025-08-02 01:41:38.212","Austin",,"Thermal","Safety","Fire/Flame","UNLIKELY","MINOR","LOW","UNLIKELY","MINOR",,,,"COMPLETED","2025-08-02 01:52:25.786","No One",,,,,,"At approximately 15:49, Security reported smoke coming from entrance of parking lot. Security notified Operations immediately. At 15:51 Operations and RME responded to a small fire and flames coming from bushes and dry dirt at entrance of parking lot. Fire was extinguished by RME at approximately 16:01. GSOC notified and Corona Fire department dispatched to sight. Fire department on scene at 16:01 and hosed down area from catching further flames. No injuries reported during event. No damage to property. Fire Fighter contact info: daniel.fagan@coronaca.gov","At approximately 15:49, Security reported smoke coming from entrance of parking lot. Security notified Operations immediately. At 15:51 Operations and RME responded to a small fire and flames coming from bushes and dry dirt at entrance of parking lot. Fire was extinguished by RME at approximately 16:01. GSOC notified and Corona Fire department dispatched to sight. Fire department on scene at 16:01 and hosed down area from catching further flames. No injuries reported during event. No damage to property. Fire Fighter contact info: daniel.fagan@coronaca.gov","Contractor","True","0 to 3","Onsite Parking Lot","False","False","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAX3","AMZL","NA","US","California","AMZL-NA-R2L","SSD FC","https://NA.ehs-amazon.com/incidents/incident/6e4d16d9-84d1-4e8b-9df5-1d28dd5c92a3/summary","SAX3-23-163","CLOSED","A","A",0,"amiguec","2023-09-28 19:21:43.588","2025-02-06 20:51:00.200",0,,"Electrical","2023-09-28 00:00:00","2023-09-28T19:15:00.928Z","2023-09-28 00:00:00","2023-09-28T19:22:00.955Z","2023-09-28 19:21:43.588","2023-09-28 19:44:33.116","Austin",,"Electrical","Safety","High voltage","LIKELY","EXTENSIVE","CRITICAL","LIKELY","EXTENSIVE","NEGLIGIBLE","LIKELY","NEGLIGIBLE","COMPLETED","2025-02-06 21:47:44.164","No One",,,,,,"No actual fire or Smoke, The issue identified was inside a Hyster Charger during a Contractor visit, RME Maintenance Technicians Miguel Castillo (Amiguec) requested if a Charger rear panel could be checked due to the panel being loose, when the Contractor isolated power and he removed the loose panel, RME Maintenance technician Identified there was extensive damage inside the panel due to arching fire, the Charger was immediately LOTO to secure immediate Hazard and an immediate request for the Vendor to check all the other panels was requested, during the Inspection of the remaining charging station it was discovered that another charger was in the early stages of catching fire as well due to the burn marks around the metal and hardware that appears to be loose. both charger have been LOTO and RME Leadership and Operations Leadership have been informed about the event. ","loose hardware inside Hyster charger, identified by RME MT AMIGUEC","Contractor","False",,"Very Narrow Aisle (VNA)","False","False","False",,,,"COMPLETED","2025-02-06 21:56:06.270","False",,"False","False","False",,"False","False",,"True","Chargers","3.1 Chargers","True","False","True","Order Picker Charger is Locked Out and red tagged until Hyster Technicians receive parts and arrive at SAX3 to repair the burned diodes leading from the high Power transformer to the charging cables.","Exposure to or contact with","Fire or flame","False","COMPLETED","2025-02-06 21:56:14.676","Inadequate or missing standards or procedures","Inadequate implementation of procedure",,"Human - Behaviour","Deviation from defined process / Drift (Procedure, SOP, PMV/PtW)",,,,,,,"Submitted by operations for RME Marco Rojas
  ",
"SAX3","AMZL","NA","US","California","AMZL-NA-R2L","SSD FC","https://NA.ehs-amazon.com/incidents/incident/a01db787-daa4-435a-9e27-f06b568142d8/summary","SAX3-24-563","CLOSED","PENDING","D",0,"vujohny","2024-12-11 08:06:58.960","2025-02-06 20:51:06.641",1,,"Waste","2024-12-10 00:00:00","2024-12-11T07:00:00Z","2024-12-10 00:00:00","2024-12-11T07:05:00Z","2024-12-11 08:06:58.960","2024-12-11 08:06:58.960","Austin",,"Chemical","Health","Flammables","HIGHLY_UNLIKELY","NEGLIGIBLE","NEGLIGIBLE","HIGHLY_UNLIKELY","NEGLIGIBLE",,,,"COMPLETED","2025-02-06 21:39:54.775","No One",,,,,,"Warming Fire detected 2 miles from facility. Debris and smell of fire present next to dock doors of building.","Warming Fire Detected off site","Other","False",,"Other","False","False","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAZ2","AMZL","NA","US","Arizona","AMZL-NA-R2L","SSD FC","https://NA.ehs-amazon.com/incidents/incident/c3c7e013-77fc-4f4e-9c0d-a6dbf7baa4e5/summary","SAZ2-26-59","CLOSED","PENDING","D",0,"camdzic","2026-02-06 20:23:10.931","2026-02-06 20:33:33.385",1,,"Waste","2026-02-06 00:00:00","2026-02-06T14:15:00Z","2026-02-06 00:00:00","2026-02-06T14:16:00Z","2026-02-06 20:23:10.931","2026-02-06 20:23:10.931","Austin",,"Spill / Release","Environment","Water release","HIGHLY_UNLIKELY","NEGLIGIBLE","NEGLIGIBLE","HIGHLY_UNLIKELY","NEGLIGIBLE",,,,"COMPLETED","2026-02-06 20:33:32.082","No One",,,,,,"On February 6, 2026, at approximately 7:15 AM, site leadership observed smoke emanating from the Auger equipment. In response to this potential safety hazard, site leadership immediately initiated the emergency evacuation protocol, ensuring all personnel safely evacuated the facility. The evacuation procedure was executed systematically, with all staff members reporting to the designated rally point for accountability.

Following the evacuation, the Global Security Operations Center (GSOC) was promptly notified of the incident to ensure proper documentation and support. The Fire Marshal arrived on-site to conduct a preliminary assessment of the situation and will be providing a comprehensive report to site leadership detailing findings and observations from the response.

This incident remains under active investigation to determine the root cause of the smoke, assess any equipment damage, and identify corrective actions to prevent future occurrences. Further updates will be communicated to relevant stakeholders as the investigation progresses and additional information becomes available. ","Tolleson Fire Department ","Other","True","0 to 3","Yard - Compactor Area","True","True","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SIL1","AMZL","NA","US","Illinois","AMZL-NA-R2L","SSD FC","https://NA.ehs-amazon.com/incidents/incident/af3b9dac-4e06-452a-be7f-12816d606662/summary","SIL1-23-af3b9dac","IN_PROGRESS","C","B",0,"rrgin","2023-01-31 14:58:33.834","2025-02-06 20:55:29.596",0,,"Vehicle","2023-01-31 00:00:00","2023-01-31T11:14:00.512Z","2023-01-31 00:00:00","2023-01-31T11:15:00.267Z","2023-01-31 14:58:33.834","2023-02-20 17:02:00.296","Austin",,"Motorized_Vehicle_Operation","Safety","Vehicle malfunction","HIGHLY_UNLIKELY","MAJOR","LOW","HIGHLY_UNLIKELY","MAJOR",,,,"COMPLETED","2025-02-06 20:52:37.702","No One",,,,,,"At approximately 5:14am a driver arrives in the SIL1 dispatch parking lot and parks in the spot at the bottom of the west side cart ramp in the flex area. After parking the car starts smoking from under the hood, by 5:15am emergency services were called and the car started on fire. By 5:20am the police arrived on site and cleared all people and cars from the parking lot. Operations had associates clear the dispatch area and had drivers stay inside away form the fire. At 5:25am, the fire department showed up and extinguished the fire completely by 5:39 am. The Fire Department left at 5:42 am and the car was towed at 6:05am. Operations capped volume by 50% for the next 4 cycles until update, canceled blocks for drivers until 6:45am. Details have been sent to GSOC as well. Entering in Austin Fire Incident and Spill incident and working with WHS team on cleaning up the parking lot. Area is currently blocked off with safety cones. WHS is contacting Clean Harbors to perform a professional clean up and removal of debris.","At approximately 5:14am a driver arrives in the SIL1 dispatch parking lot and parks in the spot at the bottom of the west side cart ramp in the flex area. After parking the car starts smoking from under the hood, by 5:15am emergency services were called and the car started on fire. By 5:20am the police arrived on site and cleared all people and cars from the parking lot. Operations had associates clear the dispatch area and had drivers stay inside away form the fire. At 5:25am, the fire department showed up and extinguished the fire completely by 5:39 am. The Fire Department left at 5:42 am and the car was towed at 6:05am. Operations capped volume by 50% for the next 4 cycles until update, canceled blocks for drivers until 6:45am. Details have been sent to GSOC as well. Entering in Austin Fire Incident and Spill incident and working with WHS team on cleaning up the parking lot. Area is currently blocked off with safety cones. WHS is contacting Clean Harbors to perform a professional clean up and removal of debris.","Other","False",,"DP Lot","False","False","False",,,,"COMPLETED","2025-02-06 20:49:59.842","False",,"False","False","False",,"False","False",,"False",,,"False","False","False",,"Environmental","Stormwater contamination","False","IN_PROGRESS","2025-02-06 20:52:06.862","Equipment damage","Other","Car belonging to DP, caught on fire today.","Technical - Equipment",,,,"Defective equipment, vehicles or materials",,,,"At approximately 5:14am a driver arrives in the SIL1 dispatch parking lot and parks in the spot at the bottom of the west side cart ramp in the flex area. After parking the car starts smoking from under the hood, by 5:15am emergency services were called and the car started on fire. By 5:20am the police arrived on site and cleared all people and cars from the parking lot. Operations had associates clear the dispatch area and had drivers stay inside away form the fire. At 5:25am, the fire department showed up and extinguished the fire completely by 5:39 am. The Fire Department left at 5:42 am and the car was towed at 6:05am. Operations capped volume by 50% for the next 4 cycles until update, canceled blocks for drivers until 6:45am. Details have been sent to GSOC as well. Entering in Austin Fire Incident and Spill incident and working with WHS team on cleaning up the parking lot. Area is currently blocked off with safety cones. WHS is contacting Clean Harbors to perform a professional clean up and removal of debris.",
"SIL2","AMZL","NA","US","Illinois","AMZL-NA-R2L","SSD FC","https://NA.ehs-amazon.com/incidents/incident/3353d66e-285e-4516-b8c5-e99cc32c6b0a/summary","SIL2-24-114","CLOSED","PENDING","B",0,"karrinn","2024-08-02 01:56:51.398","2025-02-06 20:56:23.245",0,,"Vehicle","2024-08-01 00:00:00","2024-08-01T23:05:00.000Z","2024-08-01 00:00:00","2024-08-01T23:05:00.000Z","2024-08-02 01:56:51.398","2024-08-02 01:56:51.398","Austin",,"Motorized_Vehicle_Operation","Safety","Interaction (Vehicle/Vehicle)","UNLIKELY","SIGNIFICANT","MEDIUM","UNLIKELY","SIGNIFICANT",,,,"COMPLETED","2025-02-06 20:56:40.037","Contractor",,"Independent","Flex Drivers",,"flex","08/01/2024 at 06:05PM, a Flex driver entered SIL2 dispatch (VIL2) and asked an associate (AA) wibflore for water to put out their vehicle which was ""smoking"". The AA in question alongside another AA yvidbian assessed the situation in the Dispatch parking lot by observing the vehicle from the dock ramp. AA yvidbian and AA wibflore then alerted the manager (AM) on duty in Dispatch, davivicr, of the car which had now progressed from smoking to being in flames. The AM on duty verified the incident in progess and alerted the OMs on duty, karrinn, willyuen. Both AAs and the AM on duty verified that no injuries were resulted from the incident. GSOC was contacted at 06:11PM. ","Flex driver stated that notices flames coming from the hood and came inside to ask for water to put out. ","Fire Watch","True","0 to 3","DP Lot","False","False","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SIN9","AMZL","NA","US","Indiana","AMZL-NA-R2L","SSD FC","https://NA.ehs-amazon.com/incidents/incident/c1185708-3f33-42f0-b750-d017b28f8834/summary","SIN9-22-c1185708","CLOSED","PENDING","B",0,"mbrownks","2022-07-13 08:25:21.158","2025-02-06 21:10:59.763",0,,"Vegetation","2022-07-13 00:00:00","2022-07-13T04:12:00.000Z","2022-07-13 00:00:00","2022-07-13T04:14:00.000Z","2022-07-13 08:25:21.158","2022-07-13 08:25:21.158","Austin",,"Land and Soil","Environment","Wildfire or bushfire","POSSIBLE","SIGNIFICANT","SUBSTANTIAL","POSSIBLE","SIGNIFICANT",,,,"COMPLETED","2025-02-06 21:16:27.886","No One",,,,,,"Securitas employee John was walking in the parking lot right after midnight when he noticed a smell coming from the bushes directly across the parking lot from the main building entrance. John then noticed smoke coming from the bushes and immediately notified his supervisor Brandon who immediately notified the fire department. The fire department arrived on site shortly after and extinguished the fire. ","Start of fire has not yet been identified. We know that it was caused by a cigarette that was not put out and was thrown into the bushes lining the parking lot, but we do not know if it was an Amazon employee or contractor who threw the cigarette into the bushes","Other","False",,"Onsite Parking Lot","False","False","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SMI1","AMZL","NA","US","Michigan","AMZL-NA-R2L","SSD FC","https://NA.ehs-amazon.com/incidents/incident/89df7c01-712c-468d-a2ed-3201e116c989/summary","SMI1-24-348","CLOSED","PENDING","B",0,"hofferm","2024-11-07 21:41:45.237","2025-02-06 20:58:10.455",1,,"Vehicle","2024-11-07 00:00:00","2024-11-07T14:29:00Z","2024-11-07 00:00:00","2024-11-07T14:30:00Z","2024-11-07 21:41:45.237","2024-11-07 21:41:45.237","Austin",,"Thermal","Safety","Fire/Flame","UNLIKELY","MAJOR","SUBSTANTIAL","UNLIKELY","MAJOR","SUBSTANTIAL","UNLIKELY","MAJOR","COMPLETED","2025-02-06 21:41:31.085","Contractor",,"Independent","Flex Drivers",,"Flex Driver- N/a","On 11/7/24 at approx. 9:30am SMI1 had a car fire in their flex driver dispatch lot. Vehicle entered the flex dispatch lot at 0920am. At this time a small amount of smoke can be seen coming from the engine compartment of the vehicle. At 0922am The flex driver and a male passenger opened the hood to the engine compartment. After looking under the hood briefly they closed it. The male passenger then pulls a cart to the truck where the flex driver is and they start to take RTS from the trunk and place them into the cart. At 924am the flex driver takes the cart towards the building and the male passenger walks away from the vehicle. At 0927a, both return to the vehicle and open both the drivers and passenger side doors. At 0930am the smoke increases from the engine compartment and the car doors and as the flex driver and passenger left the car they left both doors open. Flames visible from the passenger compartment at 0931am. 911 called around this time. Car fully involved at 0933am.  Police on scene at 0934. FD on scene at 0938am. Fire extinguished at 10am. FD leaves at 1041am. Tow truck was called by PD and and arrived and removed at the vehicle at 1110am, Clean harbors was called by AM. Clean harbors arrived at 135pm to begin remediation and clean up the fluids from the vehicle and firefighting activities. Fluid did enter a drain but those were also remediated by Clean harbors.  Vehicle information- VIN: 1J8HG48K17C565497 Year: 2007 Make: Jeep Model: Commander. ","Car Fire","Other","True","0 to 3","DP Lot","False","True","False",,,,"COMPLETED","2025-02-06 21:41:31.128",,,,,,,,,,"False",,,,,"False",,"Exposure to or contact with","Fire or flame",,"COMPLETED","2025-02-06 21:42:03.998","Inadequate maintenance","Inadequate preventive maintenance",,"Technical - Equipment",,,,"Defective equipment, vehicles or materials",,,"https://na.ehs-amazon.com/incidents/group/SMI1-24-GROUP-47/incident/SMI1-24-348/rca","N/A",
"SNC2","AMZL","NA","US","North Carolina","AMZL-NA-R2L","SSD FC","https://NA.ehs-amazon.com/incidents/incident/555bd5d9-9a61-4505-9992-15b20d5d9e4f/summary","SNC2-25-300","CLOSED","PENDING","C",0,"latoysul","2025-10-01 21:47:36.080","2025-10-01 22:15:43.191",1,,"Waste","2025-10-01 00:00:00","2025-10-01T07:50:00Z","2025-10-01 00:00:00","2025-10-01T09:02:00Z","2025-10-01 21:47:36.080","2025-10-01 21:47:36.080","Austin",,"Fire and Explosion Hazard","Safety","Fire","POSSIBLE","MINOR","MEDIUM","POSSIBLE","MINOR",,,,"COMPLETED","2025-10-01 22:15:42.066","No One",,,,,,"At approximately 3:55a on 10/1/2025, flames were observed coming from the inside of the corrugate compactor.  An associated escalated to OM on site.  At 3:57a, plumes of smoke were coming from the Decant line corrugate take away.  OM called 911 at 3:55a, entire site was evacuated with no injuries to associates.   Fire Department arrvied on site at approximately 4am and extinguished the flame by 4:10a.  FD gave the all clear at 5:08a.","Unknown","Other","True","0 to 3","Yard - Compactor Area","False","True","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SNJ3","AMZL","NA","US","New Jersey","AMZL-NA-R2L","SSD FC","https://NA.ehs-amazon.com/incidents/incident/4a940163-72ff-4df6-8e46-efe349c48b1c/summary","SNJ3-23-4a940163","CLOSED","PENDING","C",0,"sccuoghi","2023-04-12 02:47:40.103","2025-02-06 20:55:26.365",0,,"Vegetation","2023-04-11 00:00:00","2023-04-12T01:55:00.521Z","2023-04-11 00:00:00","2023-04-12T01:55:00.341Z","2023-04-12 02:47:40.103","2023-04-12 02:47:40.103","Austin",,"Land and Soil","Environment","Wildfire or bushfire","POSSIBLE","MINOR","MEDIUM","POSSIBLE","MINOR",,,,"COMPLETED","2025-02-06 20:52:39.111","No One",,,,,,"At approximately 2155 the operations team was notified by security of an exterior fire near the front entrance of the building. Upon exiting the building it was discovered that there was a active mulch/brush fire in the area surrounding the 4x10 outdoor smokers overhang. AM on scene began initial fire suppression operations to contain the initial spread of the fire, then made proper notifications to county communications center to have the fire department dispatched to location. PD and FD arrived at approximately 2205, with FD remaining on scene approximately 20 minutes soaking area to ensure full extinguishment of fire. GSOC, Site Lead, and Safety all notified of incident.","Fire started in mulch bed, and trees that surround the associates ","Other","True","0 to 3","Onsite Parking Lot","False","False","False",,,,"COMPLETED","2025-02-06 20:56:12.214","False",,"False","False","False",,"False","False",,"False",,,"True","False","False",,"Environmental","Air emission/pollution","False",,,,,,,,,,,,,,,
"SOH3","AMZL","NA","US","Ohio","AMZL-NA-R2L","SSD FC","https://NA.ehs-amazon.com/incidents/incident/25d19047-e03b-4b7f-93e7-305cdc503cdd/summary","SOH3-22-25d19047","CLOSED","D","D",0,"meyenich","2022-06-03 20:20:54.701","2025-02-06 21:11:40.696",0,,"Electrical","2022-06-01 00:00:00","2022-06-03T18:30:58.127Z","2022-06-01 00:00:00","2022-06-03T18:30:58.140Z","2022-06-03 20:20:54.701","2022-06-03 20:51:45.961","Austin",,"Electrical","Safety","Other","UNLIKELY","SIGNIFICANT","MEDIUM","UNLIKELY","SIGNIFICANT","MEDIUM","UNLIKELY","SIGNIFICANT","COMPLETED","2025-02-06 21:21:08.571","No One",,,,,,"At 1430 we had a power failure and the air compressor started smoking. The air compressor started to throw visible sparks. As the Air compressor started to throw sparks, everyone in the facility reported to their assigned areas. RME was notified of the issue and arrived to extinguish the air compressor after they cut power to it. It was determined at 1435 that the building should be evacuated. I received instructions over the radio to call 911. At 1438 the building was completely evacuated and everyone was accounted for. There were no injuries to report. The Fire department arrived on site at 1443 and departed the site at 1451. Building was cleared for security to enter after that and then everyone else was given the all clear to return to the facility.","electrical issue","Fire Watch","False",,"Outbound Dock","False","True","False",,,,"COMPLETED","2025-02-06 21:29:07.352","False",,"False","False","False",,"False","False",,"False",,,"False","False","False",,"Natural","Wind-storm","False","COMPLETED","2025-02-06 21:21:08.694","Equipment damage","Other","Equipment caught on fire due to events occuring after a power outage.","Technical - Equipment",,,,"Fire and explosion hazards",,,"https://na.ehs-amazon.com/incidents/incident/25d19047-e03b-4b7f-93e7-305cdc503cdd/rca","N/A",
"SOK1","AMZL","NA","US","Oklahoma","AMZL-NA-R2L","SSD FC","https://NA.ehs-amazon.com/incidents/incident/61d5f545-2fca-40c8-8599-e75b3ce8771e/summary","SOK1-25-282","CLOSED","PENDING","B",0,"ivanbaez","2025-08-06 20:37:56.809","2025-08-07 17:27:22.987",1,,"Waste","2025-08-06 00:00:00","2025-08-06T19:13:00Z","2025-08-06 00:00:00","2025-08-06T19:15:00Z","2025-08-06 20:37:56.809","2025-08-06 20:37:56.809","Austin",,"Thermal","Safety","Fire/Flame","UNLIKELY","SIGNIFICANT","MEDIUM","UNLIKELY","SIGNIFICANT","MEDIUM","UNLIKELY","SIGNIFICANT","COMPLETED","2025-08-06 21:11:58.050","Contractor",,"Independent","Design, Construction, Startup (DCS)",,"Kroll","SOK1 - On August 6, 2025, at approximately 14:12 hours, a fire incident occurred in a construction waste roll-off container from the Groceries build. The container, which housed mixed construction materials including corrugated materials, electrical wiring, and various construction debris, was immediately addressed by contractor personnel using fire extinguishers until the local Fire Department arrived on scene. Fire Department personnel completed the suppression efforts using water. Clean Harbors Emergency Response team was contacted and dispatched for post-incident cleanup operations. A thorough investigation, including review of CCTV footage and Fire Department assessment, has not identified the ignition source or root cause of the fire. The incident resulted in no injuries, no environmental impact, and no storm water contamination. All damage was contained to the contents of the waste container.  ","Unknown","Contractor","False",,"Yard","False","True","False",,,,"COMPLETED","2025-08-06 21:15:21.726","False",,"False","False","False",,"False","False",,"False",,,"False","False","False",,"Natural","Wildfire","True","COMPLETED","2025-08-06 21:20:46.255","Inadequate maintenance","Other","Unknown of root cause of fire ","Organizational - Workplace",,,"Fire and explosion hazards",,,,,"N/A",
